ocel:eid,ocel:activity,ocel:timestamp,ocel:type:MaintenanceRecord,ocel:type:LogBatch,ocel:type:ProductionBatch,ocel:type:TimberOutput,ocel:type:QualityReport,ocel:type:Mill,CaseID,Mill,LogsProcessed,VolumeM3,ProductionM3,YieldPercent,DowntimeHours,MaintenanceHours,MoistureDefectRate,TwistingDefectRate,BlueStainRate,KnotDefectRate,CrackDefectRate,QualityGradeA,ShiftType,OperatorID,EquipmentStatus,Hour,DayOfWeek,Conformance_Label,Violation_Types
E003131,ProcessLogs,12/17/2017 15:24,,,BATCH_CASE_0114_017,,,,CASE_0114,R200,174,28.17,19.91,70.68,0.41,0.04,3.4,0.01,2.6,4.83,2.99,91.08,Day,OP_004,Operational,15,6,0,None
E003132,ShiftEnd,12/17/2017 17:09,,LOG_R200_018,,,,,CASE_0114,R200,151,22.44,14.38,64.08,0.96,0.28,2.74,3.77,0.15,0.86,0.6,91.22,Day,OP_012,Operational,17,6,0,None
E003133,ShiftEnd,12/17/2017 21:00,,LOG_R200_019,,,,,CASE_0114,R200,213,57.74,21.67,37.53,0.53,0.23,2.37,2.6,2.67,4.61,1.46,83.44,Night,OP_012,Operational,21,6,0,None
E003134,LogShortage,12/18/2017 00:36,,LOG_R200_020,,,,,CASE_0114,R200,187,26.91,12.48,46.38,0.95,0.36,4.11,3.97,1.34,3.28,0.62,82.87,Night,OP_001,Operational,0,0,0,None
E003135,QualitySorting,12/18/2017 05:12,,,,,QR_CASE_0114_021,,CASE_0114,R200,142,49.74,36.96,74.31,0.07,0.01,0.38,0.46,0.9,0.09,1.07,95.0,Night,OP_015,Operational,5,0,0,None
E003136,QualityInspection,12/18/2017 08:19,,,,,QR_CASE_0114_022,,CASE_0114,R200,143,51.97,17.71,34.08,0.4,0.1,0.18,1.5,2.25,4.51,3.97,84.59,Day,OP_006,Operational,8,0,0,None
E003137,ProcessLogs,12/18/2017 10:28,,,BATCH_CASE_0114_023,,,,CASE_0114,R200,152,20.47,9.29,45.38,0.83,0.22,0.77,1.04,0.84,2.82,1.76,94.15,Day,OP_007,Operational,10,0,0,None
E003138,QualitySorting,12/18/2017 13:01,,,,,QR_CASE_0114_024,,CASE_0114,R200,61,53.46,34.43,64.4,0.73,0.35,4.13,3.36,3.63,0.02,2.49,88.72,Day,OP_003,Operational,13,0,0,None
E003139,StartProduction,12/18/2017 15:21,,,BATCH_CASE_0114_025,,,,CASE_0114,R200,50,38.06,15.56,40.88,0.46,0.1,4.55,0.1,1.82,1.57,1.33,93.23,Day,OP_007,Operational,15,0,0,None
E003140,StartProduction,10/13/2017 00:00,,,BATCH_CASE_0115_000,,,,CASE_0115,R250,201,33.84,23.15,68.41,1.07,0.07,1.01,1.16,0.17,1.2,0.25,95.0,Night,OP_002,Operational,0,4,0,None
E003141,LogShortage,10/13/2017 03:25,,LOG_R250_001,,,,,CASE_0115,R250,59,50.98,36.65,71.89,0.7,0.3,3.69,0.98,3.04,1.7,0.31,92.72,Night,OP_013,Operational,3,4,0,None
E003142,MaintenancePlanned,10/13/2017 04:33,MR_R250_002,,,,,,CASE_0115,R250,87,51.33,40.38,78.67,0.96,0.67,0.67,0.58,0.63,2.06,3.42,95.0,Night,OP_002,Maintenance,4,4,0,None
E003143,ProcessLogs,10/13/2017 06:45,,,BATCH_CASE_0115_003,,,,CASE_0115,R250,83,41.07,31.27,76.14,0.45,0.03,3.69,0.62,1.15,0.11,0.93,90.65,Day,OP_012,Operational,6,4,0,None
E003144,QualitySorting,10/13/2017 07:27,,,,,QR_CASE_0115_004,,CASE_0115,R250,74,17.92,8.89,49.61,1.41,0.12,3.3,0.64,2.65,1.66,2.56,93.23,Day,OP_010,Operational,7,4,0,None
E003145,ProcessLogs,10/13/2017 09:17,,,BATCH_CASE_0115_005,,,,CASE_0115,R250,109,25.45,16.99,66.76,0.91,0.44,0.58,3.76,3.99,0.92,1.12,92.66,Day,OP_009,Operational,9,4,0,None
E003146,StartProduction,10/13/2017 11:31,,,BATCH_CASE_0115_006,,,,CASE_0115,R250,174,49.59,20.19,40.71,1.35,0.36,4.83,3.44,3.47,2.29,3.74,78.05,Day,OP_002,Operational,11,4,0,None
E003147,ShiftEnd,10/13/2017 15:11,,LOG_R250_007,,,,,CASE_0115,R250,191,17.84,10.76,60.31,0.06,0.0,1.23,3.72,1.51,0.64,3.79,93.94,Day,OP_012,Operational,15,4,0,None
E003148,ShiftEnd,10/13/2017 19:32,,LOG_R250_008,,,,,CASE_0115,R250,170,51.65,17.57,34.02,0.1,0.04,4.57,0.79,0.75,0.73,1.29,93.82,Night,OP_009,Operational,19,4,0,None
E003149,ShiftEnd,10/13/2017 22:47,,LOG_R250_009,,,,,CASE_0115,R250,165,52.98,18.94,35.75,1.09,0.1,1.5,3.79,0.62,1.4,0.66,89.2,Night,OP_003,Operational,22,4,0,None
E003150,QualitySorting,10/14/2017 03:18,,,,,QR_CASE_0115_010,,CASE_0115,R250,107,18.23,11.78,64.62,0.12,0.03,4.64,0.71,0.65,1.69,3.98,87.23,Night,OP_008,Operational,3,5,0,None
E003151,ShiftEnd,10/14/2017 07:01,,LOG_R250_011,,,,,CASE_0115,R250,198,52.81,21.66,41.01,1.48,0.63,4.39,2.75,3.99,1.5,0.69,84.74,Day,OP_003,Operational,7,5,0,None
E003152,QualityInspection,10/14/2017 08:19,,,,,QR_CASE_0115_012,,CASE_0115,R250,114,50.17,23.25,46.34,1.01,0.26,4.12,2.27,2.3,1.13,3.5,88.1,Day,OP_001,Operational,8,5,0,None
E003153,ProductionComplete,10/14/2017 10:45,,,BATCH_CASE_0115_013,,,,CASE_0115,R250,90,44.1,25.91,58.75,0.28,0.09,2.3,0.45,3.69,4.3,2.21,90.4,Day,OP_015,Operational,10,5,0,None
E003154,ProcessLogs,10/14/2017 14:44,,,BATCH_CASE_0115_014,,,,CASE_0115,R250,103,45.22,22.42,49.58,0.97,0.28,3.94,0.32,3.62,4.63,0.09,84.55,Day,OP_001,Operational,14,5,0,None
E003155,QualityInspection,10/14/2017 18:03,,,,,QR_CASE_0115_015,,CASE_0115,R250,118,25.69,13.24,51.54,0.86,0.03,3.5,0.74,3.23,2.38,0.9,92.25,Night,OP_011,Operational,18,5,0,None
E003156,ShiftEnd,10/14/2017 19:13,,LOG_R250_016,,,,,CASE_0115,R250,173,8.23,3.96,48.12,1.33,0.37,3.02,1.21,3.3,1.97,1.83,88.53,Night,OP_011,Operational,19,5,0,None
E003157,ProductionComplete,10/14/2017 22:31,,,BATCH_CASE_0115_017,,,,CASE_0115,R250,208,13.09,7.22,55.16,1.11,0.53,1.9,1.45,2.22,3.86,2.29,90.25,Night,OP_003,Operational,22,5,0,None
E003158,QualitySorting,10/15/2017 01:32,,,,,QR_CASE_0115_018,,CASE_0115,R250,219,8.04,2.77,34.45,1.23,0.42,1.84,3.21,2.67,1.32,2.5,91.91,Night,OP_012,Operational,1,6,0,None
E003159,ShiftEnd,10/15/2017 05:20,,LOG_R250_019,,,,,CASE_0115,R250,144,26.46,12.59,47.58,0.98,0.48,0.71,2.64,1.78,4.48,2.03,91.68,Night,OP_015,Operational,5,6,0,None
E003160,ProcessLogs,10/15/2017 08:05,,,BATCH_CASE_0115_020,,,,CASE_0115,R250,62,46.43,26.12,56.26,0.45,0.01,1.0,3.29,0.68,1.45,3.06,93.98,Day,OP_012,Operational,8,6,0,None
E003161,StartProduction,08/04/2015 00:00,,,BATCH_CASE_0116_000,,,,CASE_0116,R200,154,40.96,16.88,41.21,0.33,0.14,3.48,3.62,3.36,4.97,0.83,78.27,Night,OP_003,Operational,0,1,0,None
E003162,ShiftEnd,08/04/2015 04:21,,LOG_R200_001,,,,,CASE_0116,R200,118,17.88,5.65,31.6,0.91,0.15,4.22,1.65,0.99,4.55,2.48,90.16,Night,OP_006,Operational,4,1,0,None
E003163,MaintenanceUnplanned,08/04/2015 05:46,MR_R200_002,,,,,,CASE_0116,R200,97,16.5,7.42,44.97,2.71,2.4,1.38,1.78,1.75,2.32,1.74,93.39,Night,OP_011,Maintenance,5,1,0,None
E003164,QualitySorting,08/04/2015 07:54,,,,,QR_CASE_0116_003,,CASE_0116,R200,91,34.33,20.43,59.51,1.3,0.02,4.91,2.95,1.84,0.4,0.16,85.45,Day,OP_001,Operational,7,1,0,None
E003165,QualitySorting,08/04/2015 09:05,,,,,QR_CASE_0116_004,,CASE_0116,R200,124,35.23,8.99,25.52,0.59,0.19,4.71,0.42,2.96,2.41,2.87,88.14,Day,OP_001,Operational,9,1,0,None
E003166,QualitySorting,08/04/2015 11:11,,,,,QR_CASE_0116_005,,CASE_0116,R200,67,50.98,31.19,61.18,1.17,0.04,0.85,0.77,0.29,4.2,1.17,94.53,Day,OP_001,Operational,11,1,0,None
E003167,ProcessLogs,08/04/2015 13:18,,,BATCH_CASE_0116_006,,,,CASE_0116,R200,103,8.85,6.87,77.63,0.43,0.19,0.43,0.29,1.83,3.36,1.1,95.0,Day,OP_002,Operational,13,1,0,None
E003168,ProductionComplete,08/04/2015 14:16,,,BATCH_CASE_0116_007,,,,CASE_0116,R200,144,48.86,18.05,36.94,0.55,0.14,2.28,1.27,1.55,0.08,1.72,95.0,Day,OP_006,Operational,14,1,0,None
E003169,QualityInspection,08/04/2015 17:19,,,,,QR_CASE_0116_008,,CASE_0116,R200,79,21.77,8.17,37.53,1.41,0.23,0.11,1.4,1.06,0.66,1.83,91.5,Day,OP_003,Operational,17,1,0,None
E003170,ProcessLogs,08/04/2015 18:52,,,BATCH_CASE_0116_009,,,,CASE_0116,R200,108,36.07,11.3,31.33,1.45,0.09,0.4,2.84,0.7,3.62,3.38,86.69,Night,OP_013,Operational,18,1,0,None
E003171,ProcessLogs,08/04/2015 20:51,,,BATCH_CASE_0116_010,,,,CASE_0116,R200,117,13.82,6.44,46.6,0.97,0.2,1.63,2.53,3.82,4.37,0.75,84.77,Night,OP_004,Operational,20,1,0,None
E003172,ProcessLogs,08/04/2015 22:31,,,BATCH_CASE_0116_011,,,,CASE_0116,R200,59,33.83,17.75,52.47,0.11,0.01,2.19,1.29,0.13,3.24,1.22,95.0,Night,OP_012,Operational,22,1,0,None
E003173,ProductionComplete,08/05/2015 00:37,,,BATCH_CASE_0116_012,,,,CASE_0116,R200,55,36.54,17.92,49.04,1.19,0.44,2.14,2.37,1.27,4.73,3.25,84.97,Night,OP_002,Operational,0,2,0,None
E003174,BreakdownMechanical,08/05/2015 04:27,MR_R200_013,,,,,,CASE_0116,R200,199,46.24,27.15,58.72,1.21,0.65,4.36,3.93,3.78,3.53,1.08,77.63,Night,OP_013,Breakdown,4,2,0,None
E003175,MaintenancePlanned,08/05/2015 07:45,MR_R200_014,,,,,,CASE_0116,R200,209,31.49,20.12,63.89,3.48,2.76,3.31,3.38,2.57,2.58,1.79,90.53,Day,OP_012,Maintenance,7,2,0,None
E003176,ProcessLogs,08/05/2015 09:16,,,BATCH_CASE_0116_015,,,,CASE_0116,R200,201,52.91,20.7,39.12,0.23,0.04,3.18,1.19,1.32,0.22,1.62,90.83,Day,OP_003,Operational,9,2,0,None
E003177,StartProduction,08/05/2015 12:01,,,BATCH_CASE_0116_016,,,,CASE_0116,R200,160,40.52,29.17,71.99,1.26,0.56,2.74,3.51,0.15,0.35,3.06,91.45,Day,OP_012,Operational,12,2,0,None
E003178,ProcessLogs,08/05/2015 13:55,,,BATCH_CASE_0116_017,,,,CASE_0116,R200,169,15.72,6.27,39.89,0.03,0.01,2.35,2.47,0.93,1.93,1.84,86.31,Day,OP_008,Operational,13,2,0,None
E003179,SawBladeChange,08/05/2015 15:10,MR_R200_018,,,,,,CASE_0116,R200,84,21.08,5.89,27.94,2.33,1.42,1.79,2.86,3.44,1.09,2.97,83.49,Day,OP_006,Maintenance,15,2,0,None
E003180,ProcessLogs,08/05/2015 17:27,,,BATCH_CASE_0116_019,,,,CASE_0116,R200,64,37.22,23.06,61.96,1.19,0.23,4.14,1.55,0.66,0.41,3.31,95.0,Day,OP_010,Operational,17,2,0,None
E003181,ProductionComplete,08/05/2015 21:07,,,BATCH_CASE_0116_020,,,,CASE_0116,R200,79,43.32,19.92,45.98,1.26,0.25,4.41,2.25,3.45,4.76,1.69,78.34,Night,OP_002,Operational,21,2,0,None
E003182,QualityInspection,08/06/2015 00:37,,,,,QR_CASE_0116_021,,CASE_0116,R200,191,22.09,13.7,62.02,0.94,0.35,0.9,2.62,3.78,2.39,3.59,83.44,Night,OP_007,Operational,0,3,0,None
E003183,QualitySorting,08/06/2015 01:44,,,,,QR_CASE_0116_022,,CASE_0116,R200,156,19.88,13.76,69.22,0.33,0.1,3.24,1.39,1.56,3.51,2.57,87.7,Night,OP_001,Operational,1,3,0,None
E003184,ProductionComplete,08/06/2015 05:21,,,BATCH_CASE_0116_023,,,,CASE_0116,R200,140,9.03,5.46,60.47,0.97,0.16,4.61,2.72,0.21,1.09,1.66,91.49,Night,OP_006,Operational,5,3,0,None
E003185,ShiftEnd,08/06/2015 06:46,,LOG_R200_024,,,,,CASE_0116,R200,201,47.6,33.62,70.63,0.53,0.26,1.85,1.72,1.18,4.0,2.34,91.93,Day,OP_013,Operational,6,3,0,None
E003186,ShiftEnd,08/06/2015 07:39,,LOG_R200_025,,,,,CASE_0116,R200,116,18.98,5.43,28.61,0.07,0.0,0.9,2.54,3.81,3.05,0.17,88.82,Day,OP_010,Operational,7,3,0,None
E003187,ProcessLogs,08/06/2015 09:13,,,BATCH_CASE_0116_026,,,,CASE_0116,R200,179,13.7,10.19,74.38,0.47,0.21,1.05,1.97,1.05,0.07,0.54,95.0,Day,OP_008,Operational,9,3,0,None
E003188,ProcessLogs,08/06/2015 11:52,,,BATCH_CASE_0116_027,,,,CASE_0116,R200,73,58.65,39.4,67.18,0.65,0.11,0.12,2.77,2.67,0.2,0.75,94.62,Day,OP_011,Operational,11,3,0,None
E003189,ProductionComplete,10/21/2021 00:00,,,BATCH_CASE_0117_000,,,,CASE_0117,R250,83,54.44,32.2,59.15,0.08,0.02,4.12,1.57,3.63,4.73,0.24,84.52,Night,OP_005,Operational,0,3,0,None
E003190,ProcessLogs,10/21/2021 02:54,,,BATCH_CASE_0117_001,,,,CASE_0117,R250,142,53.89,27.46,50.96,0.55,0.06,3.97,3.77,3.55,1.24,2.65,89.57,Night,OP_008,Operational,2,3,0,None
E003191,ShiftEnd,10/21/2021 05:02,,LOG_R250_002,,,,,CASE_0117,R250,84,33.82,18.09,53.49,0.26,0.06,0.22,3.31,0.1,2.46,0.36,89.28,Night,OP_001,Operational,5,3,0,None
E003192,QualitySorting,10/21/2021 06:33,,,,,QR_CASE_0117_003,,CASE_0117,R250,51,34.14,24.44,71.59,0.39,0.02,3.84,0.04,2.74,0.12,1.86,92.06,Day,OP_009,Operational,6,3,0,None
E003193,ConveyorMaintenance,10/21/2021 09:45,MR_R250_004,,,,,,CASE_0117,R250,140,13.92,6.55,47.05,0.75,0.38,4.4,1.04,1.06,3.0,1.12,92.88,Day,OP_005,Maintenance,9,3,0,None
E003194,StartProduction,10/21/2021 13:37,,,BATCH_CASE_0117_005,,,,CASE_0117,R250,152,45.31,22.15,48.89,0.97,0.06,0.84,1.86,3.36,2.22,1.73,85.19,Day,OP_005,Operational,13,3,0,None
E003195,ProcessLogs,10/21/2021 17:41,,,BATCH_CASE_0117_006,,,,CASE_0117,R250,59,16.81,7.73,45.98,1.12,0.1,3.25,3.41,1.65,3.61,2.34,89.82,Day,OP_012,Operational,17,3,0,None
E003196,ProcessLogs,10/21/2021 20:22,,,BATCH_CASE_0117_007,,,,CASE_0117,R250,148,36.13,25.09,69.44,1.35,0.59,3.12,3.59,3.4,3.34,1.8,81.72,Night,OP_004,Operational,20,3,0,None
E003197,ConveyorMaintenance,10/22/2021 00:00,MR_R250_008,,,,,,CASE_0117,R250,186,10.22,3.87,37.87,1.38,0.99,0.42,2.56,1.21,1.12,2.86,89.67,Night,OP_011,Maintenance,0,4,0,None
E003198,ShiftEnd,10/22/2021 04:09,,LOG_R250_009,,,,,CASE_0117,R250,109,27.64,16.7,60.42,0.06,0.03,0.31,1.32,1.36,3.89,1.87,89.87,Night,OP_007,Operational,4,4,0,None
E003199,ProcessLogs,10/22/2021 07:23,,,BATCH_CASE_0117_010,,,,CASE_0117,R250,185,45.2,27.56,60.97,0.27,0.08,0.07,1.14,2.37,3.21,2.15,95.0,Day,OP_003,Operational,7,4,0,None
E003200,StartProduction,10/22/2021 11:09,,,BATCH_CASE_0117_011,,,,CASE_0117,R250,152,45.67,27.96,61.22,0.48,0.19,4.49,0.64,3.02,2.13,1.61,82.78,Day,OP_009,Operational,11,4,0,None
E003201,QualitySorting,10/22/2021 15:20,,,,,QR_CASE_0117_012,,CASE_0117,R250,61,12.61,5.77,45.76,1.34,0.59,2.53,2.49,2.01,0.8,1.24,94.2,Day,OP_014,Operational,15,4,0,None
E003202,QualitySorting,10/22/2021 17:54,,,,,QR_CASE_0117_013,,CASE_0117,R250,83,47.28,17.5,37.01,1.23,0.15,3.19,0.17,2.64,3.61,2.5,82.66,Day,OP_004,Operational,17,4,0,None
E003203,ProcessLogs,10/22/2021 22:04,,,BATCH_CASE_0117_014,,,,CASE_0117,R250,152,18.07,13.3,73.6,0.3,0.04,4.9,3.96,2.41,0.11,0.48,85.6,Night,OP_010,Operational,22,4,0,None
E003204,ProcessLogs,10/23/2021 00:27,,,BATCH_CASE_0117_015,,,,CASE_0117,R250,85,39.46,18.64,47.24,0.5,0.06,3.44,2.84,0.89,0.38,2.65,86.98,Night,OP_008,Operational,0,5,0,None
E003205,ConveyorMaintenance,10/23/2021 01:58,MR_R250_016,,,,,,CASE_0117,R250,203,49.49,15.21,30.73,0.63,0.41,2.63,1.98,1.7,0.11,1.44,93.24,Night,OP_013,Maintenance,1,5,0,None
E003206,ProcessLogs,10/23/2021 04:56,,,BATCH_CASE_0117_017,,,,CASE_0117,R250,111,56.35,22.68,40.25,0.48,0.04,2.64,2.41,2.58,1.26,1.09,85.98,Night,OP_004,Operational,4,5,0,None
E003207,QualitySorting,10/23/2021 06:39,,,,,QR_CASE_0117_018,,CASE_0117,R250,193,35.09,14.65,41.75,0.74,0.34,1.54,3.53,0.09,4.01,1.23,90.31,Day,OP_003,Operational,6,5,0,None
E003208,QualitySorting,10/23/2021 07:30,,,,,QR_CASE_0117_019,,CASE_0117,R250,202,26.49,16.43,62.02,0.98,0.39,2.22,1.71,1.79,1.66,0.0,95.0,Day,OP_004,Operational,7,5,0,None
E003209,QualitySorting,10/23/2021 11:44,,,,,QR_CASE_0117_020,,CASE_0117,R250,173,49.36,35.42,71.76,0.95,0.39,3.56,2.61,1.57,2.26,0.87,88.24,Day,OP_005,Operational,11,5,0,None
E003210,ShiftEnd,10/23/2021 13:08,,LOG_R250_021,,,,,CASE_0117,R250,170,22.6,18.02,79.73,1.15,0.05,2.17,0.9,2.46,2.18,2.84,91.39,Day,OP_009,Operational,13,5,0,None
E003211,ProcessLogs,10/23/2021 17:33,,,BATCH_CASE_0117_022,,,,CASE_0117,R250,90,57.96,22.92,39.54,0.36,0.05,1.71,1.77,0.65,2.25,1.45,93.05,Day,OP_004,Operational,17,5,0,None
E003212,StartProduction,10/06/2012 00:00,,,BATCH_CASE_0118_000,,,,CASE_0118,R250,176,42.82,28.74,67.12,0.89,0.14,4.49,0.24,3.3,2.94,1.31,89.71,Night,OP_013,Operational,0,5,0,None
E003213,StartProduction,10/06/2012 02:06,,,BATCH_CASE_0118_001,,,,CASE_0118,R250,134,56.22,34.3,61.01,0.64,0.04,2.6,2.5,3.86,2.37,1.91,84.73,Night,OP_001,Operational,2,5,0,None
E003214,LogShortage,10/06/2012 03:23,,LOG_R250_002,,,,,CASE_0118,R250,170,47.62,19.32,40.57,0.17,0.02,1.36,3.51,3.12,2.66,3.13,85.06,Night,OP_006,Operational,3,5,0,None
E003215,MaintenanceUnplanned,10/06/2012 07:22,MR_R250_003,,,,,,CASE_0118,R250,160,58.13,20.31,34.94,1.17,0.98,2.39,1.55,1.82,3.81,1.36,92.96,Day,OP_001,Maintenance,7,5,0,None
E003216,ProcessLogs,10/06/2012 09:00,,,BATCH_CASE_0118_004,,,,CASE_0118,R250,199,40.96,21.73,53.05,1.48,0.42,3.03,1.44,1.43,1.18,2.63,92.26,Day,OP_003,Operational,9,5,0,None
E003217,ProcessLogs,10/06/2012 10:11,,,BATCH_CASE_0118_005,,,,CASE_0118,R250,198,21.62,5.8,26.83,0.39,0.05,4.33,1.43,3.51,3.49,2.44,89.52,Day,OP_012,Operational,10,5,0,None
E003218,MaintenanceUnplanned,10/06/2012 13:40,MR_R250_006,,,,,,CASE_0118,R250,67,57.13,37.17,65.06,1.91,1.69,4.37,0.66,1.79,1.36,0.96,91.97,Day,OP_015,Maintenance,13,5,0,None
E003219,QualityInspection,10/06/2012 17:37,,,,,QR_CASE_0118_007,,CASE_0118,R250,182,31.44,22.58,71.82,0.53,0.18,1.17,2.61,2.59,1.33,0.1,95.0,Day,OP_010,Operational,17,5,0,None
E003220,LogShortage,10/06/2012 21:01,,LOG_R250_008,,,,,CASE_0118,R250,111,36.55,15.38,42.08,1.31,0.12,1.4,0.62,3.59,3.85,3.28,87.6,Night,OP_001,Operational,21,5,0,None
E003221,ProcessLogs,10/06/2012 23:01,,,BATCH_CASE_0118_009,,,,CASE_0118,R250,181,35.31,22.47,63.64,1.33,0.41,4.79,2.55,0.19,3.56,1.6,91.54,Night,OP_014,Operational,23,5,0,None
E003222,StartProduction,10/07/2012 01:07,,,BATCH_CASE_0118_010,,,,CASE_0118,R250,94,33.36,13.98,41.91,1.21,0.06,1.75,2.2,0.77,3.91,2.15,87.82,Night,OP_007,Operational,1,6,0,None
E003223,QualitySorting,10/07/2012 02:58,,,,,QR_CASE_0118_011,,CASE_0118,R250,153,16.16,10.62,65.72,0.32,0.15,4.22,0.94,2.11,2.48,0.25,85.22,Night,OP_011,Operational,2,6,0,None
E003224,QualitySorting,10/07/2012 07:51,,,,,QR_CASE_0118_012,,CASE_0118,R250,69,37.6,26.84,71.38,0.6,0.12,3.87,0.48,0.68,3.73,2.64,90.11,Day,OP_009,Operational,7,6,0,None
E003225,ProductionComplete,10/07/2012 10:47,,,BATCH_CASE_0118_013,,,,CASE_0118,R250,214,46.08,23.67,51.37,1.38,0.12,3.68,2.01,0.72,2.32,3.89,88.79,Day,OP_003,Operational,10,6,0,None
E003226,ProcessLogs,10/07/2012 12:36,,,BATCH_CASE_0118_014,,,,CASE_0118,R250,216,58.71,44.66,76.07,0.64,0.01,3.43,0.41,3.37,0.46,1.07,93.83,Day,OP_006,Operational,12,6,0,None
E003227,StartProduction,10/07/2012 14:52,,,BATCH_CASE_0118_015,,,,CASE_0118,R250,135,31.72,14.4,45.4,0.26,0.12,4.98,2.39,0.22,4.99,3.14,80.22,Day,OP_013,Operational,14,6,0,None
E003228,ProcessLogs,10/07/2012 16:26,,,BATCH_CASE_0118_016,,,,CASE_0118,R250,163,20.44,8.94,43.74,0.19,0.03,4.16,3.27,0.38,0.33,3.5,88.73,Day,OP_003,Operational,16,6,0,None
E003229,ProductionComplete,10/07/2012 20:00,,,BATCH_CASE_0118_017,,,,CASE_0118,R250,192,13.89,7.79,56.08,0.13,0.01,3.02,0.01,3.29,2.17,1.89,89.25,Night,OP_011,Operational,20,6,0,None
E003230,ConveyorMaintenance,10/07/2012 23:29,MR_R250_018,,,,,,CASE_0118,R250,79,18.9,12.97,68.62,1.67,1.56,1.56,2.21,0.77,4.45,0.65,88.98,Night,OP_001,Maintenance,23,6,0,None
E003231,ShiftEnd,10/08/2012 03:22,,LOG_R250_019,,,,,CASE_0118,R250,112,20.64,15.58,75.48,1.12,0.54,4.08,0.35,0.4,1.69,1.2,92.17,Night,OP_006,Operational,3,0,0,None
E003232,LogShortage,10/08/2012 07:11,,LOG_R250_020,,,,,CASE_0118,R250,67,23.2,13.31,57.37,0.91,0.39,3.81,3.03,1.88,1.16,2.81,87.05,Day,OP_006,Operational,7,0,0,None
E003233,ProcessLogs,10/08/2012 09:53,,,BATCH_CASE_0118_021,,,,CASE_0118,R250,82,27.22,9.74,35.78,0.06,0.03,4.01,0.87,1.23,1.94,3.66,85.07,Day,OP_007,Operational,9,0,0,None
E003234,QualitySorting,10/08/2012 14:06,,,,,QR_CASE_0118_022,,CASE_0118,R250,180,34.81,24.09,69.2,1.46,0.32,2.17,1.68,3.41,1.5,2.68,91.18,Day,OP_015,Operational,14,0,0,None
E003235,SawBladeChange,10/08/2012 17:34,MR_R250_023,,,,,,CASE_0118,R250,79,9.58,4.52,47.18,3.36,2.94,3.92,3.44,3.05,2.82,2.54,82.22,Day,OP_012,Maintenance,17,0,0,None
E003236,ProcessLogs,10/08/2012 21:05,,,BATCH_CASE_0118_024,,,,CASE_0118,R250,85,53.11,30.24,56.94,0.22,0.07,0.7,0.31,2.46,0.87,1.79,95.0,Night,OP_011,Operational,21,0,0,None
E003237,ProcessLogs,10/09/2012 00:55,,,BATCH_CASE_0118_025,,,,CASE_0118,R250,137,10.61,6.17,58.15,0.72,0.32,0.3,2.32,0.83,2.4,3.5,86.82,Night,OP_015,Operational,0,1,0,None
E003238,ProductionComplete,10/09/2012 02:01,,,BATCH_CASE_0118_026,,,,CASE_0118,R250,88,45.61,26.83,58.82,0.29,0.11,4.86,3.52,3.67,0.52,3.56,86.24,Night,OP_013,Operational,2,1,0,None
E003239,ProcessLogs,10/09/2012 05:16,,,BATCH_CASE_0118_027,,,,CASE_0118,R250,209,26.17,10.83,41.38,1.48,0.06,2.79,3.01,2.89,4.89,2.05,88.69,Night,OP_001,Operational,5,1,0,None
E003240,StartProduction,05/06/2012 00:00,,,BATCH_CASE_0119_000,,,,CASE_0119,R250,119,53.25,28.57,53.65,0.12,0.04,1.0,3.28,3.61,1.06,0.96,85.12,Night,OP_006,Operational,0,6,0,None
E003241,QualityInspection,05/06/2012 02:25,,,,,QR_CASE_0119_001,,CASE_0119,R250,97,13.32,9.79,73.5,0.18,0.09,1.33,1.33,2.53,3.28,2.49,90.21,Night,OP_013,Operational,2,6,0,None
E003242,MaintenancePlanned,05/06/2012 05:57,MR_R250_002,,,,,,CASE_0119,R250,77,39.01,27.83,71.34,3.48,2.82,3.29,2.41,0.27,1.9,0.26,94.32,Night,OP_006,Maintenance,5,6,0,None
E003243,ProductionComplete,05/06/2012 10:23,,,BATCH_CASE_0119_003,,,,CASE_0119,R250,82,8.94,6.37,71.25,0.55,0.16,2.71,0.82,1.59,4.51,3.96,90.48,Day,OP_002,Operational,10,6,0,None
E003244,ProcessLogs,05/06/2012 12:54,,,BATCH_CASE_0119_004,,,,CASE_0119,R250,53,13.59,4.01,29.51,1.34,0.55,1.08,2.97,0.07,1.93,0.84,92.03,Day,OP_011,Operational,12,6,0,None
E003245,ProductionComplete,05/06/2012 16:34,,,BATCH_CASE_0119_005,,,,CASE_0119,R250,217,21.87,12.78,58.44,0.31,0.01,4.25,1.66,3.78,1.86,1.34,90.38,Day,OP_013,Operational,16,6,0,None
E003246,QualityInspection,05/06/2012 17:24,,,,,QR_CASE_0119_006,,CASE_0119,R250,95,49.31,21.65,43.91,0.65,0.06,1.54,3.95,2.24,3.71,2.25,91.2,Day,OP_014,Operational,17,6,0,None
E003247,ProcessLogs,05/06/2012 21:18,,,BATCH_CASE_0119_007,,,,CASE_0119,R250,126,59.71,31.2,52.25,0.4,0.06,4.42,1.32,1.43,4.95,2.73,85.45,Night,OP_004,Operational,21,6,0,None
E003248,StartProduction,05/06/2012 22:41,,,BATCH_CASE_0119_008,,,,CASE_0119,R250,58,51.86,38.41,74.06,0.96,0.22,3.96,3.81,1.16,0.4,2.56,84.99,Night,OP_004,Operational,22,6,0,None
